XFOIL & experimental polar
        Polar key
        Airfoil,contour10.20_polar
        Reynolds number,1.0e6
        Ncrit
        Mach,0.0
        Max Cl/Cd,23.222677172323436
        Max Cl/Cd alpha,0.19198621771937624
        
        
        Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr)
-19.5,-0.5961998855341245,0.07719220074831541,0.03524439142502359,-0.15986944392975735,0.0,0.0
-19.0,-0.6248962231510825,0.07001077608443002,0.02984235564962301,-0.15977248021538057,0.0,0.0
-18.5,-0.6346455344082352,0.06259309880823916,0.024091637955758725,-0.1632206164165448,0.0,0.0
-18.0,-0.6293877809549093,0.05568002589852362,0.018773453402851206,-0.16840677223318354,0.0,0.0
-17.5,-0.6205116231414047,0.04968434079431127,0.014396300031904034,-0.17265286736172514,0.0,0.0
-17.0,-0.6089817629281296,0.04465774164295475,0.010968833502564309,-0.17559967022956022,0.0,0.0
-16.5,-0.5858208469471158,0.04014589380459416,0.007837698653673416,-0.17966869257203982,0.0,0.0
-16.0,-0.5607399777361705,0.036440980092220715,0.005387821309906536,-0.18250416791100307,0.0,0.0
-15.5,-0.5412613811359572,0.03339660993089493,0.003527716277753779,-0.18310952938202296,0.0,0.0
-14.999999999999998,-0.5296333536224597,0.030988120384821776,0.002350777754654594,-0.18110365336681203,0.0,0.0
-14.5,-0.5184427434258696,0.028966020486762438,0.001531508663276808,-0.17823168152782604,0.0,0.0
-14.0,-0.5044558531006806,0.027143994279682823,0.00086568678299358,-0.17536083907979694,0.0,0.0
-13.5,-0.48835570551917307,0.025542244841582094,0.0003513780068318059,-0.172316209886013,0.0,0.0
-12.999999999999998,-0.4746047518251681,0.024226081215648173,-3.845090680881466e-6,-0.16835450574356514,0.0,0.0
-12.5,-0.4549429009360364,0.022984681220851906,-0.00028588127481448615,-0.16499606284693685,0.0,0.0
-12.0,-0.43790290473883164,0.02206760440329581,-0.00040952854115881333,-0.16064600605572757,0.0,0.0
-11.5,-0.4169666541319781,0.021118516277297415,-0.0005148286739066907,-0.15668611570332905,0.0,0.0
-10.999999999999998,-0.3951399593105644,0.02024965786533812,-0.0005841018272358755,-0.15254786381211025,0.0,0.0
-10.5,-0.3768984273144636,0.01959624722547643,-0.0005813061221166606,-0.14740786126849553,0.0,0.0
-10.0,-0.36509257127417505,0.019185088205323265,-0.00043399624641927384,-0.14072984796655333,0.0,0.0
-9.5,-0.3515608801901073,0.018740099628263944,-0.00030936241195383583,-0.13412953019853743,0.0,0.0
-9.0,-0.3357198263622717,0.018224605791267636,-0.0002388803933108853,-0.127757418282104,0.0,0.0
-8.5,-0.31709576934508904,0.01774613399719425,-0.00018895299234110733,-0.12165024308648259,0.0,0.0
-8.0,-0.29954784751596103,0.017344210900088353,-0.0001316102490327494,-0.11511118865524672,0.0,0.0
-7.499999999999999,-0.2864746513531236,0.01701649031757822,-6.8506158160767e-5,-0.10752230619774839,0.0,0.0
-7.0,-0.27154477103372954,0.01674156527300009,-2.4510678717678896e-5,-0.10018811916483324,0.0,0.0
-6.499999999999999,-0.25418406661890575,0.016442616683773285,-2.863315554519849e-5,-0.09321070452290202,0.0,0.0
-6.0,-0.25305653309846227,0.016459722175080075,1.9014367951287092e-5,-0.08300484481011405,0.0,0.0
-5.499999999999999,-0.24752731766634503,0.01645059217658104,8.050524180012813e-5,-0.07356803682902957,0.0,0.0
-5.0,-0.23858935363311362,0.01638459304260184,8.91584096122793e-5,-0.06469701035793543,0.0,0.0
-4.5,-0.22379929429568787,0.01627365694412781,4.1481787448720384e-5,-0.05690015470737468,0.0,0.0
-3.5,-0.2163532849109672,0.01657518727824037,3.900604225669094e-5,-0.03696367478298521,0.0,0.0
-3.0,-0.2040155031064598,0.016627864906251767,-4.497306372546091e-5,-0.02859899613925609,0.0,0.0
-2.5,-0.18861827154343244,0.016661674701803818,-0.00017944906865488563,-0.020843192474290746,0.0,0.0
-2.0,-0.17110187199463345,0.016694095314270137,-0.00035603123127560113,-0.013487991822132117,0.0,0.0
-1.5,-0.15390908955945154,0.016786597212208338,-0.000554506453299191,-0.006074143376159666,0.0,0.0
-1.0,-0.13847025004403582,0.01686616946865065,-0.0008088398085350131,0.001668191918021136,0.0,0.0
-0.5,-0.12204716832749815,0.016975569909566456,-0.0010920413450768098,0.009165058395536751,0.0,0.0
0.0,-0.09851153267879847,0.016955085817484984,-0.0014304241343966234,0.015193415181156899,0.0,0.0
0.5,-0.07316723319272637,0.01694737237499426,-0.0017723230602413268,0.020750599651687802,0.0,0.0
1.0,-0.04619961320617418,0.016985388491795442,-0.0021110907228713816,0.025903615786813855,0.0,0.0
1.5,-0.02442752726802619,0.01726202915693868,-0.0024036763527514058,0.03177396687332454,0.0,0.0
