XFOIL & experimental polar
        Polar key
        Airfoil,contour10.20_polar
        Reynolds number,1.0e6
        Ncrit
        Mach,0.0
        Max Cl/Cd,23.222677172323436
        Max Cl/Cd alpha,0.19198621771937624
        
        
        Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr)
2.0,0.002524604318351467,0.017384990291531104,-0.0026960021706956016,0.03663446509429613,0.0,0.0
2.5,0.03075644801309744,0.017566738875360095,-0.0029425813414134896,0.041083823724838445,0.0,0.0
3.0,0.06641089736018634,0.017655742254020453,-0.0031407701313986344,0.043925826022696436,0.0,0.0
3.5,0.10869123179261535,0.0178289558691615,-0.0032113672496679978,0.045309109967943524,0.0,0.0
4.5,0.18665447693934914,0.018180856128354628,-0.003360175491265796,0.049179322329649035,0.0,0.0
5.0,0.2169124963858584,0.01839533837378159,-0.0035093242073990726,0.052918320105072754,0.0,0.0
5.499999999999999,0.24723116884844767,0.018514886616155222,-0.0035854984529169027,0.05698737828000575,0.0,0.0
6.499999999999999,0.3930574409581983,0.020731420929789777,-0.0018652026917485014,0.04576601390132752,0.0,0.0
7.0,0.4553033080928368,0.022110597423248505,-0.001140021049254801,0.042049310521164895,0.0,0.0
7.499999999999999,0.4950866367988162,0.02339032421758533,-0.0007908748191501122,0.04302717279127764,0.0,0.0
8.0,0.5421939871998365,0.02483939770447334,-0.00024665061097702316,0.04226268969167962,0.0,0.0
8.5,0.5862911657748772,0.02616481597025202,0.00015575194418546569,0.042187875890628196,0.0,0.0
9.0,0.6220434284623799,0.02766645920265064,0.000588977969171136,0.04341605133204497,0.0,0.0
9.5,0.6662914868098713,0.029417154754098895,0.0013906577904834437,0.0423260368052743,0.0,0.0
10.0,0.7113117089587802,0.03079642205271484,0.0018306222275196074,0.04167561096540011,0.0,0.0
10.5,0.7516578101157021,0.032431405104818026,0.0024246378625386385,0.041477000131840386,0.0,0.0
10.999999999999998,0.7961775424507197,0.03428448565782056,0.0032591641653831383,0.03998696844015625,0.0,0.0
11.5,0.8230183292402233,0.03654042173923644,0.004071841082842832,0.041534462846321105,0.0,0.0
12.0,0.8608383123945161,0.039034687665138776,0.005500714670555384,0.04002275889361385,0.0,0.0
12.5,0.8906588944012619,0.04200516744301588,0.00729463718730386,0.0392159569549761,0.0,0.0
12.999999999999998,0.9238417547475595,0.044724024409128156,0.00884256640740867,0.03815923257545066,0.0,0.0
13.5,0.9610673091609904,0.04725556342749649,0.01016418526005458,0.03667657859513701,0.0,0.0
14.0,0.9785842439007811,0.05125291789183628,0.012530450005925581,0.03680262422816387,0.0,0.0
14.5,1.0082434795592563,0.05503626410919122,0.015182235998029071,0.03440512432487179,0.0,0.0
14.999999999999998,1.0385689777325662,0.0583555736737905,0.017334928465081792,0.032593032147253516,0.0,0.0
15.5,1.06707559610242,0.06179398317539659,0.01954173677566938,0.03091562530346162,0.0,0.0
16.0,1.0775695534949281,0.06702871416873214,0.023339838744293514,0.029735046615030635,0.0,0.0
16.5,1.0956787249200284,0.0713604981397019,0.02636165606114466,0.02848884935907819,0.0,0.0
17.0,1.0974148775823527,0.07553603161537709,0.029006296413175075,0.030250157120965578,0.0,0.0
17.5,1.1037200960271627,0.07934372978592089,0.03131899133255776,0.03161454843757672,0.0,0.0
18.0,1.1080773393683205,0.08348342958984842,0.0339701044542639,0.032727373902821814,0.0,0.0
18.5,1.1018337020150237,0.08891896118036416,0.03797922279931132,0.03363384402612094,0.0,0.0
19.0,1.1009215739936562,0.09385029288383377,0.041622044920993646,0.03419600326339665,0.0,0.0
